Alt,u,v,temp,bv2
28040.000,-1.705,2.897,0.126,0.000
28046.000,-1.597,2.879,0.217,0.000
28051.000,-1.588,2.879,0.209,0.000
28057.000,-1.578,2.879,0.200,0.000
28063.000,-1.568,2.878,0.191,0.002
28069.000,-1.559,2.877,0.182,0.002
28075.000,-1.549,2.876,0.274,0.000
28080.000,-1.539,2.874,0.265,0.000
28086.000,-1.528,2.872,0.256,0.000
28092.000,-1.419,2.852,0.247,0.000
28098.000,-1.409,2.849,0.339,0.000
28104.000,-1.398,2.845,0.330,0.002
28110.000,-1.387,2.842,0.321,0.002
28115.000,-1.376,2.838,0.312,0.000
28121.000,-1.365,2.834,0.403,0.000
28127.000,-1.353,2.830,0.394,0.000
28133.000,-1.144,2.790,0.385,0.000
28139.000,-1.034,2.768,0.476,0.000
28145.000,-0.923,2.745,0.467,0.002
28150.000,-0.813,2.722,0.458,0.002
28156.000,-0.702,2.699,0.449,0.000
28162.000,-0.591,2.675,0.540,0.000
28168.000,-0.381,2.634,0.531,0.000
28174.000,-0.269,2.610,0.522,0.000
28179.000,-0.157,2.586,0.513,0.000
28185.000,-0.046,2.562,0.604,0.002
28191.000,0.066,2.538,0.595,0.002
28197.000,0.277,2.496,0.586,0.000
28203.000,0.389,2.471,0.577,0.000
28209.000,0.502,2.447,0.668,0.000
28214.000,0.615,2.422,0.658,0.000
28220.000,0.727,2.397,0.649,0.000
28226.000,0.840,2.373,0.640,0.002
28232.000,1.051,2.330,0.631,0.002
28238.000,1.164,2.305,0.722,0.000
28243.000,1.277,2.280,0.712,0.000
28249.000,1.248,2.011,0.703,0.000
28255.000,1.263,2.003,0.694,0.000
28261.000,1.238,1.732,0.685,0.000
28267.000,1.218,1.461,0.776,0.002
28273.000,1.233,1.453,0.766,0.002
28279.000,1.218,1.181,0.757,0.000
28285.000,1.233,1.172,0.748,0.000
28290.000,1.222,0.900,0.738,0.000
28296.000,1.217,0.627,0.729,0.000
28302.000,1.232,0.618,0.819,0.000
28308.000,1.230,0.345,0.810,0.002
28314.000,1.134,0.074,0.801,0.002
28320.000,1.149,0.066,0.791,0.000
28326.000,1.157,-0.210,0.782,0.000
28332.000,1.172,-0.218,0.773,0.000
28338.000,1.185,-0.494,0.763,0.000
28344.000,1.202,-0.770,0.754,0.000
28349.000,1.116,-0.780,0.844,0.002
28355.000,1.138,-1.058,0.835,0.002
28361.000,1.152,-1.067,0.826,0.000
28367.000,0.978,-1.354,0.816,0.000
28373.000,0.892,-1.368,0.807,0.000
28379.000,0.806,-1.382,0.797,0.000
28385.000,0.720,-1.396,0.788,0.000
28391.000,0.534,-1.416,0.779,0.002
28397.000,0.448,-1.430,0.769,0.002
28403.000,0.361,-1.444,0.760,0.000
28409.000,0.175,-1.464,0.751,0.000
28414.000,0.088,-1.478,0.841,0.000
28420.000,0.001,-1.493,0.832,0.000
28426.000,-0.168,-1.807,0.823,0.000
28432.000,-0.255,-1.823,0.813,0.002
28438.000,-0.342,-1.840,0.804,0.002
28444.000,-0.430,-1.856,0.794,0.000
28450.000,-0.617,-1.880,0.785,0.000
28456.000,-0.705,-1.897,0.775,0.000
28462.000,-0.793,-1.914,0.766,0.000
28468.000,-0.981,-1.938,0.756,0.000
28474.000,-1.069,-1.955,0.747,0.002
28480.000,-1.157,-1.972,0.737,0.002
28487.000,-1.246,-1.989,0.728,0.000
28493.000,-1.334,-2.006,0.718,0.000
28499.000,-1.323,-2.016,0.709,0.000
28505.000,-1.412,-2.033,0.699,0.000
28511.000,-1.501,-2.051,0.690,0.002
28517.000,-1.491,-2.061,0.680,0.002
28523.000,-1.580,-2.079,0.671,0.000
28529.000,-1.670,-2.096,0.661,0.000
28535.000,-1.680,-1.783,0.651,0.000
28541.000,-1.770,-1.800,0.642,0.000
28547.000,-1.860,-1.816,0.632,0.000
28553.000,-1.850,-1.828,0.622,0.002
28559.000,-1.941,-1.846,0.613,0.002
28566.000,-2.031,-1.863,0.603,0.000
28572.000,-2.022,-1.876,0.593,0.000
28578.000,-2.114,-1.894,0.583,0.000
28584.000,-2.205,-1.912,0.574,0.000
28590.000,-2.197,-1.925,0.564,0.000
28596.000,-2.289,-1.944,0.554,0.002
28602.000,-2.396,-1.625,0.545,0.002
28608.000,-2.489,-1.643,0.535,0.000
28614.000,-2.581,-1.660,0.525,0.000
28620.000,-2.674,-1.679,0.515,0.000
28626.000,-2.777,-1.352,0.505,0.000
28632.000,-2.871,-1.369,0.495,0.000
28639.000,-2.965,-1.386,0.485,0.002
28645.000,-3.062,-1.053,0.475,0.002
28651.000,-3.157,-1.068,0.465,0.000
28658.000,-3.252,-1.084,0.455,0.000
28664.000,-3.344,-0.744,0.445,0.000
28670.000,-3.439,-0.758,0.436,0.000
28677.000,-3.535,-0.772,0.426,0.000
28683.000,-3.631,-0.787,0.416,0.002
28689.000,-3.718,-0.438,0.406,0.002
28696.000,-3.815,-0.450,0.396,0.000
28702.000,-3.911,-0.463,0.386,0.000
28708.000,-3.992,-0.107,0.376,0.000
28714.000,-4.189,-0.113,0.366,0.000
28721.000,-4.287,-0.124,0.356,0.000
28727.000,-4.384,-0.135,0.346,0.002
28733.000,-4.259,0.217,0.336,0.002
28740.000,-4.157,0.194,0.326,0.000
28746.000,-4.156,0.178,0.316,0.000
